Gene,Log2FoldChange,PValue
TACR1,-1.949605486111111,6.569536524903127e-08
CCDC125,0.5712106944444448,1.503488343435403e-07
MASP1,1.1614577083333337,2.1608022054041336e-07
EGFR,1.9750711805555579,2.421405256031803e-07
ALDH7A1,0.7651046527777758,3.396900144549078e-07
LOC284440,0.5065409722222203,5.748915698263684e-07
GTPBP4,-0.31304430555555385,5.7516554527681e-07
ACSS3,1.13801048611111,6.498549382804401e-07
ZNF541,1.3946604166666665,7.938796314712065e-07
ZNF492,-1.152166111111111,1.2261753231728356e-06
ECHDC2,1.0510763888888892,2.0462465039572262e-06
SSBP2,0.399400833333333,2.4734460570064967e-06
CNGA3,1.327775833333332,2.5480175819816038e-06
HOXB3,1.7012775694444446,2.646897040837452e-06
MTPAP,-0.28044881944444366,2.7516804833804655e-06
LOC100131691,0.7004788888888891,2.9203000192349e-06
SOX9,0.5711749999999984,4.064993293178264e-06
ASB12,-0.6152072916666669,4.329868075160294e-06
SUPV3L1,-0.25752597222222207,5.265705571170619e-06
C3orf15,0.923569166666665,5.376659282996578e-06
ALDH1L1,1.0692900694444454,5.3962646172678456e-06
ZIC5,1.0612784027777789,7.408113506151893e-06
ZNF181,0.415188958333335,7.598226695459534e-06
ZNF671,0.37782729166666584,8.281692280632946e-06
ZNF814,0.5046002777777776,9.545547455577347e-06
GTF2IRD2P1,0.4420610416666655,9.954349983892177e-06
GJA1,1.006536319444443,1.1281678117458974e-05
ALDH18A1,-0.3119331249999977,1.2353122944350796e-05
HES1,0.5498040277777783,1.276111983844861e-05
ZDHHC9,-0.5487234027777781,1.29273912381394e-05
LOC100132215,1.000271111111111,1.393716875947303e-05
SLC16A4,0.8090877777777781,1.522554929262256e-05
ZNF727,-1.0980983333333334,1.5921753424890414e-05
PDDC1,0.4343385416666674,1.702414491854254e-05
CBARA1,-0.28153312500000105,1.8755468455713334e-05
ZNF679,-0.8083697916666668,1.9314444771371868e-05
SLC25A21,-0.8491461805555556,2.03112379035132e-05
PRKG2,-1.1610443055555555,2.0615678482012826e-05
ZNF676,-1.0257696527777778,2.2486719876904172e-05
CNNM2,-0.44774444444444406,2.3640506634802335e-05
RFX4,0.722575625000001,2.433597515053756e-05
PAX6,0.6134151388888878,2.601777271568805e-05
MOSC2,0.6395965972222237,2.7019709000417336e-05
FOXE1,-0.6364463888888889,2.7098153132454447e-05
FAM154B,0.6256502083333322,2.781660873801723e-05
FBXO17,0.7668796527777779,2.9448153815242634e-05
LY6G5C,0.47296430555555435,3.079999609706594e-05
SALL1,0.5506650694444453,3.260529234861412e-05
ZIC2,0.8710426388888886,3.267035432677592e-05
OTP,1.4339879166666654,3.267941954122532e-05
SH2D4A,0.692128055555556,3.4875016459543845e-05
SLC30A2,-0.46880090277777775,3.492749615055415e-05
ZNF43,0.39720930555555434,3.608616046973797e-05
HNF4G,0.7531066666666684,3.685935749841676e-05
MAP1LC3C,1.0964412499999998,3.7548446889163106e-05
TLX3,-0.46219263888888884,3.886464296983471e-05
AQP5,1.534909236111111,3.895256838055395e-05
FOXJ1,1.153893124999998,3.8954131540599824e-05
VN1R1,0.6099242361111124,3.915175790539894e-05
OR4N2,-1.0874766666666669,3.9726889572573406e-05
GALNT3,1.0509854861111103,4.002849427392888e-05
TMEM91,0.5733904166666655,4.059982823469916e-05
ZNF83,0.5608044444444449,4.186131714007097e-05
CRISPLD1,0.690635277777778,4.363042320301783e-05
ZNF226,0.4241063888888892,4.481226108519276e-05
TMEM71,0.9184590277777795,4.5930864328082036e-05
RGN,0.9409518750000005,4.625426303211298e-05
MTMR2,-0.31337076388888896,4.859473360717308e-05
SEC61G,1.6634576388888878,4.958049156502993e-05
NFIA,0.5229607638888893,4.9787516766273514e-05
ZNF331,0.40107131944444774,4.982765925249396e-05
CCDC146,0.7435009027777779,5.112356429283964e-05
ARSD,0.510811736111112,5.1912326798660466e-05
ZNF345,0.3761640277777776,5.263185230062463e-05
DBX2,1.1914027777777774,5.281484303073712e-05
C19orf44,0.39256618055555403,5.315277745791243e-05
NR2E1,0.8458616666666661,5.343190229776403e-05
STAM,-0.24736604166666787,5.604955129083272e-05
KLKB1,0.9835351388888882,5.6606884588111805e-05
ALS2CR4,0.3217272916666669,5.6915292204883275e-05
C18orf16,0.8847499999999968,5.793457739906467e-05
ANKK1,1.0555466666666662,5.833676792980706e-05
VAX1,-1.068819305555555,5.913120739515316e-05
PIPOX,0.8536057638888899,5.914660690785435e-05
SLC19A3,0.5914179166666678,5.9546079434269196e-05
ANGPTL1,1.1995329166666666,6.0744290928851295e-05
ARSF,1.3173476388888892,6.076946786922842e-05
C19orf51,1.0755871527777776,6.442762881832473e-05
ZNF776,0.38750798611111215,6.622308660120642e-05
NETO2,0.9890113194444439,7.176203374684623e-05
ACTR1A,-0.24469340277777718,7.219619756123041e-05
LGI1,0.9240340972222212,7.27391107220466e-05
ZNF69,0.4979146527777809,7.35505021892412e-05
C14orf181,0.6500082638888873,7.443307975278247e-05
CLEC18C,0.9820640277777786,7.727693257710263e-05
BBOX1,0.7032409027777788,7.790325274989896e-05
TP53AIP1,0.8118354166666673,8.174554992291567e-05
RAB34,0.6771641666666675,8.252885739038693e-05
CHST3,-0.5336768749999994,8.281756225843824e-05
ZNF441,0.4075576388888891,8.317123803624247e-05
SCD,-0.5406076388888881,8.442659831622142e-05
C19orf36,0.8231740277777782,8.512279079023202e-05
ZNF333,0.3456372222222228,8.812858575824058e-05
C5orf33,0.44886513888888757,8.834101934985753e-05
BRD8,0.24611201388889015,8.98789149694242e-05
MEOX2,1.301280138888889,9.22870629805398e-05
LRRC2,1.2413372916666665,9.231158918042929e-05
ZNF547,0.41659833333333296,9.252699295205988e-05
GLP1R,-0.7195127083333333,9.283355717241703e-05
ARNTL,0.470068333333332,9.470866629377523e-05
LRRC16A,0.7740547916666669,9.701156843967007e-05
C11orf24,-0.2655077777777777,9.728397027966005e-05
EYA4,1.7537860416666664,9.768510347328072e-05
LOC146481,-1.0651961111111112,9.805359609089315e-05
ZNF443,0.35110958333333553,0.00010009734880267437
NTN5,0.8389481249999995,0.00010195236953885277
ZNF788,0.3927999999999985,0.00010281792389914304
HPD,1.3502019444444446,0.00010618409479668362
NR0B1,-1.5782139583333334,0.00011125392341645756
ADAMTS12,-1.1486344444444438,0.00011625414906883033
PEX11G,0.4841584027777772,0.00011743234516680423
SFRS12,0.30156756944444396,0.0001214214575558808
LGR5,-1.2079957638888894,0.00012250091625465876
TBL1Y,-0.37126756944444445,0.00012335978315725944
SLC44A1,-0.5441068055555558,0.000124099178205024
LOC283663,0.6319975694444455,0.00012773951697277603
KLHDC8A,0.8322705555555547,0.0001306578324225035
ZDHHC16,-0.25494298611111077,0.00013216053994435548
DRG2,0.3280581249999983,0.00013453398589627455
CCDC80,0.5181022916666667,0.0001371199965712699
IRX4,-0.4621558333333334,0.00014117937824354208
ZNF321,0.46853208333333374,0.0001445457393169011
TFRC,0.465309652777778,0.0001446006880707321
GTF2IRD2B,0.4033434027777769,0.00014860112805947722
ZNF302,0.32659868055555563,0.0001514800321140069
GTF2IRD2,0.3901071527777784,0.00015279706106188272
ZFYVE27,-0.236460000000001,0.0001537166436170505
C14orf50,1.0421646527777764,0.00015434119418186382
LCE1C,-0.5170256944444445,0.00015502787630039327
SLC2A6,-0.4900990972222212,0.00015683211805796017
PWWP2B,-0.3486964583333316,0.00015687845289235393
FAM129B,-0.5188564583333335,0.00015935497214627934
ERMAP,0.37262659722222047,0.00015943294267623575
CXorf23,0.24446034722222176,0.00016420648958073326
FAM175B,-0.18864409722222142,0.00016524980488692384
TMEM216,0.5881611805555558,0.00016593779904179994
PLSCR4,0.6052848611111088,0.00017599366752432962
LOC285401,-0.8139471527777777,0.00018231486927232702
QTRT1,0.37414701388888894,0.00018263890412157808
C6orf192,0.44111499999999815,0.00018346125841822445
LRP12,-0.369990624999998,0.00019026709830040093
MZF1,0.5413845138888878,0.00019058734580227644
ZNF98,-0.8563608333333333,0.0001940245082178376
PHKB,0.265410972222222,0.00020100122414580215
TEKT2,0.7672075000000005,0.00020869835891263057
ZNF564,0.2575601388888904,0.0002093270568813486
METTL7A,0.6354119444444439,0.00021816313613935766
AKAP8,0.23795763888889176,0.00021905171368624929
ZNF137,0.45306284722222134,0.0002213671169537641
C13orf38,0.7107424305555563,0.00023285928661897375
LHFP,0.47610375000000005,0.00023574635846823478
LANCL2,1.2833785416666643,0.00023798262955971428
SLITRK6,-0.7819602083333332,0.00023834342193551392
CDC123,-0.2447775694444445,0.0002403349069993283
ANGPTL2,-0.5377644444444449,0.00024104815304500446
MAP3K14,0.41801361111111035,0.0002450326853903724
NPFF,0.6283882638888905,0.0002530916915266981
ZIC1,0.6115752777777779,0.00025905447343610796
BCCIP,-0.2337761111111103,0.00026442295151109815
CDR1,-1.3533740277777784,0.0002651895299333597
TMEM47,0.5810312499999988,0.00026598737428444076
AGT,0.6813525000000009,0.0002666194965014448
CHL1,0.863559513888891,0.00027391473136404094
AGXT2L2,0.3304602083333332,0.0002741088974317903
HKR1,0.28167777777778014,0.0002817886873623057
ZDHHC8P1,1.0505161111111097,0.0002857604094982858
ZNF446,0.34557756944444584,0.0002870108040052224
PANX1,-0.32555027777777745,0.000291231621352167
VTI1A,-0.22538083333333248,0.000292562523881068
HPS6,-0.21501048611110996,0.000292943891897175
PPA1,-0.3478206249999971,0.00029964700056120803
PCDH11X,-1.4261021527777773,0.00030748751837200163
C2orf78,-0.13017923611111112,0.00030762462953850796
AQP4,0.7164486111111099,0.0003102186666708464
ELOVL2,1.0467561111111117,0.0003109430746288601
GLYATL2,-1.2996570833333339,0.0003163400129969971
MAB21L1,0.7949053472222225,0.0003236455815897037
TNFRSF19,0.5492281249999973,0.0003279160240614933
PRPF18,-0.21821284722222156,0.00033208985597340336
ZNF521,0.4571941666666657,0.0003321199064779601
SHISA2,-1.1478947222222224,0.00033516377877647406
REM1,-0.951356041666668,0.00033744346723501087
CDR2L,-0.42364201388888745,0.00034186598076706983
ETV4,0.9104797916666678,0.00035696805813547033
CLEC18B,0.821157430555556,0.00036090681810952596
C16orf55,0.30300805555555765,0.0003631156954132726
GPR108,0.29723513888888853,0.0003689001164582717
ACY3,0.9420223611111114,0.0003697484250516664
LARP6,-0.3732997916666676,0.0003701563918317938
SH3YL1,0.24678055555555467,0.00037169625561106544
CLEC18A,0.8271924999999989,0.00037852037602433735
ZNF528,0.3721302083333349,0.0003824697889167203
TMEM22,0.487661041666664,0.00038250335117118926
FSIP1,0.6101775000000007,0.0003834156084217159
FBXO18,-0.2547963888888898,0.00038397191254808613
MYO5C,0.8763746527777778,0.0003848964832640604
RAGE,0.453129861111111,0.000385458468974067
