Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of DNA-templated Transcription (GO:0006355)	53/1922	7.733652e-05	9.829472e-02	0	0	1.870329e+00	1.770705e+01	ZNF331;ZNF492;FOXE1;HNF4G;MEOX2;SALL1;ZIC2;ZNF727;ZNF83;ZIC1;SOX9;ZNF446;ZNF443;ZNF564;ZNF563;ZNF441;ZSCAN5A;RFX2;ZNF98;PAX6;ZNF57;ETV4;MED29;RFX4;WAC;LANCL2;HOXB3;ZNF679;ZNF676;MZF1;ZNF671;DBX2;EGFR;HSF1;SOHLH2;TBL1Y;HES1;BRD8;ZNF345;ZNF541;IRX2;AFAP1L2;IRX4;NR0B1;ZIC4;ZIC5;AGT;NFIA;TLX3;BAMBI;ID4;TAF5;SSBP2
GO_Biological_Process_2023	Regulation Of Transcription By RNA Polymerase II (GO:0006357)	52/2028	5.361786e-04	3.193830e-01	0	0	1.718877e+00	1.294494e+01	FOXE1;HNF4G;OTP;NR2E1;MEOX2;SALL1;ZIC2;ZNF83;ZNF529;ZIC1;SOX9;ZNF446;ZNF443;ZNF564;ZNF563;ZNF441;ZSCAN5A;RFX2;PAX6;ZNF57;ETV4;MED29;RFX4;HOXB3;ZNF558;MZF1;ZNF671;DBX2;AEBP1;CXXC5;ZNF69;EGFR;HSF1;SOHLH2;TBL1Y;HES1;BRD8;ZNF345;ZNF541;IRX2;IRX4;ZNF180;FOXJ1;NR0B1;ZIC4;ZIC5;NFIA;TLX3;ID4;TAF5;SSBP2;ZNF136
GO_Biological_Process_2023	cAMP-mediated Signaling (GO:0019933)	4/26	7.538545e-04	3.193830e-01	0	0	1.120262e+01	8.055034e+01	GLP1R;EPHA5;SOX9;PDE7B
GO_Biological_Process_2023	Ketone Body Biosynthetic Process (GO:0046951)	2/5	2.517756e-03	5.965264e-01	0	0	4.085981e+01	2.445209e+02	ACSS3;SLC27A5
GO_Biological_Process_2023	Pituitary Gland Development (GO:0021983)	2/6	3.736387e-03	5.965264e-01	0	0	3.064330e+01	1.712849e+02	SALL1;NR0B1
GO_Biological_Process_2023	Ketone Body Metabolic Process (GO:1902224)	2/6	3.736387e-03	5.965264e-01	0	0	3.064330e+01	1.712849e+02	ACSS3;SLC27A5
GO_Biological_Process_2023	Long-Chain Fatty Acid Catabolic Process (GO:0042758)	2/6	3.736387e-03	5.965264e-01	0	0	3.064330e+01	1.712849e+02	GLYATL2;ACADL
GO_Biological_Process_2023	Cyclic-Nucleotide-Mediated Signaling (GO:0019935)	4/40	3.860259e-03	5.965264e-01	0	0	6.841170e+00	3.801653e+01	GLP1R;EPHA5;SOX9;PDE7B
GO_Biological_Process_2023	Visual System Development (GO:0150063)	4/41	4.224026e-03	5.965264e-01	0	0	6.655935e+00	3.638777e+01	MAB21L1;MAB21L2;PAX6;ZDHHC16
GO_Biological_Process_2023	Negative Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090288)	5/71	5.811936e-03	6.296171e-01	0	0	4.671955e+00	2.405049e+01	BAMBI;VWC2;SPRY2;SHISA2;AGT
