Gene,Log2FoldChange,PValue,FDR
TACR1,-1.949605486111111,6.569536524903128e-08,0.0011901206833396
MASP1,1.1614577083333335,2.160802205404134e-07,0.0011901206833396
CCDC125,0.5712106944444448,1.503488343435403e-07,0.0011901206833396
EGFR,1.9750711805555576,2.421405256031803e-07,0.0011901206833396
ALDH7A1,0.7651046527777758,3.396900144549078e-07,0.0013356611368366
GTPBP4,-0.3130443055555538,5.7516554527681e-07,0.0015970185108241
ACSS3,1.13801048611111,6.498549382804401e-07,0.0015970185108241
LOC284440,0.5065409722222203,5.748915698263684e-07,0.0015970185108241
ZNF541,1.3946604166666663,7.938796314712065e-07,0.0017341859505248
ZNF492,-1.152166111111111,1.2261753231728356e-06,0.0024106606853577
HOXB3,1.7012775694444446,2.646897040837452e-06,0.0035883186486348
SSBP2,0.399400833333333,2.4734460570064967e-06,0.0035883186486348
ECHDC2,1.0510763888888892,2.0462465039572262e-06,0.0035883186486348
MTPAP,-0.2804488194444436,2.751680483380465e-06,0.0035883186486348
CNGA3,1.327775833333332,2.548017581981604e-06,0.0035883186486348
LOC100131691,0.7004788888888891,2.9203000192349e-06,0.0035883186486348
SOX9,0.5711749999999984,4.064993293178264e-06,0.0047010451849343
ASB12,-0.6152072916666669,4.329868075160294e-06,0.0047291781309806
C3orf15,0.923569166666665,5.376659282996578e-06,0.0050519315416898
ALDH1L1,1.0692900694444454,5.3962646172678456e-06,0.0050519315416898
SUPV3L1,-0.257525972222222,5.265705571170619e-06,0.0050519315416898
ZIC5,1.0612784027777789,7.408113506151893e-06,0.0064948320362058
ZNF181,0.415188958333335,7.598226695459534e-06,0.0064948320362058
ZNF671,0.3778272916666658,8.281692280632946e-06,0.0067840862598851
ZNF814,0.5046002777777776,9.545547455577347e-06,0.007506618519066
GTF2IRD2P1,0.4420610416666655,9.954349983892177e-06,0.0075270200262815
GJA1,1.006536319444443,1.1281678117458974e-05,0.0082147330292312
HES1,0.5498040277777783,1.276111983844861e-05,0.008471750391394
ALDH18A1,-0.3119331249999977,1.2353122944350796e-05,0.008471750391394
